Text,label
"Pour moi cétait un cadeau de rêve ['Pour', 'moi', 'cétait', 'un', 'cadeau', 'de', 'rêve'] []",A1
"A Barcelone mes parents ont réservé un appartement près de la plage ['A', 'Barcelone', 'mes', 'parents', 'ont', 'réservé', 'un', 'appartement', 'près', 'de', 'la', 'plage'] []",A1
"À quelle heure on part ['À', 'quelle', 'heure', 'on', 'part'] ['heure' 'part']",A1
"Ainsi Pierre a le privilège dadmirer chaque jour lun des monuments les plus visités au monde ['Ainsi', 'Pierre', 'a', 'le', 'privilège', 'dadmirer', 'chaque', 'jour', 'lun', 'des', 'monuments', 'les', 'plus', 'visités', 'au', 'monde'] ['plus']",A1
"Allumez votre téléphone mobile ['Allumez', 'votre', 'téléphone', 'mobile'] ['téléphone' 'mobile']",A1
"Après avoir bu une tasse de thé dans un café je rentre chez moi en bus ['Après', 'avoir', 'bu', 'une', 'tasse', 'de', 'thé', 'dans', 'un', 'café', 'je', 'rentre', 'chez', 'moi', 'en', 'bus'] []",A1
"Après je vais dans la cuisine et je bois mon café ['Après', 'je', 'vais', 'dans', 'la', 'cuisine', 'et', 'je', 'bois', 'mon', 'café'] []",A1
"Arthur lace ses chaussures à rayures ['Arthur', 'lace', 'ses', 'chaussures', 'à', 'rayures'] []",A1
"Aujourd’hui avec mes parents et ma sœur nous partons en voyage ['Aujourd’hui', 'avec', 'mes', 'parents', 'et', 'ma', 'sœur', 'nous', 'partons', 'en', 'voyage'] []",A1
"Aujourd’hui on est samedi nous rendons visite à notre grandmère ['Aujourd’hui', 'on', 'est', 'samedi', 'nous', 'rendons', 'visite', 'à', 'notre', 'grandmère'] []",A1
"Avec le printemps qui commence en mars le soleil est de retour et le temps se réchauffe ['Avec', 'le', 'printemps', 'qui', 'commence', 'en', 'mars', 'le', 'soleil', 'est', 'de', 'retour', 'et', 'le', 'temps', 'se', 'réchauffe'] ['mars']",A1
"Bob va au cinéma ['Bob', 'va', 'au', 'cinéma'] []",A1
"Bonjour je mappelle Igor ['Bonjour', 'je', 'mappelle', 'Igor'] []",A1
"Bruno met son chapeau rigolo ['Bruno', 'met', 'son', 'chapeau', 'rigolo'] []",A1
"Cest pratique pour aller dun centre commercial à un autre pour aller à lécole à la piscine au stade ou encore au théâtre parce que la ville est très grande ['Cest', 'pratique', 'pour', 'aller', 'dun', 'centre', 'commercial', 'à', 'un', 'autre', 'pour', 'aller', 'à', 'lécole', 'à', 'la', 'piscine', 'au', 'stade', 'ou', 'encore', 'au', 'théâtre', 'parce', 'que', 'la', 'ville', 'est', 'très', 'grande'] ['pratique' 'centre' 'commercial']",A1
"Cest tellement amusant de réciter la comptine des vêtements ['Cest', 'tellement', 'amusant', 'de', 'réciter', 'la', 'comptine', 'des', 'vêtements'] []",A1
"Cest un spectacle magique ['Cest', 'un', 'spectacle', 'magique'] ['spectacle' 'magique']",A1
"C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine ['C’', 'est', 'aussi', 'le', 'moment', 'idéal', 'pour', 'profiter', 'de', 'l’', 'eau', 'et', 'aller', 'nager', 'à', 'la', 'mer', 'ou', 'à', 'la', 'piscine'] ['moment']",A1
"C’est la couleur de nombreux fruits et légumes comme les tomates les fraises ou les cerises ['C’', 'est', 'la', 'couleur', 'de', 'nombreux', 'fruits', 'et', 'légumes', 'comme', 'les', 'tomates', 'les', 'fraises', 'ou', 'les', 'cerises'] ['couleur']",A1
"C’est la saison la plus chaude pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage ['C’', 'est', 'la', 'saison', 'la', 'plus', 'chaude', 'pendant', 'laquelle', 'on', 'recommence', 'à', 'mettre', 'ses', 'lunettes', 'de', 'soleil', 'et', 'à', 'aller', 'se', 'promener', 'sur', 'la', 'plage'] ['plus']",A1
"C’est le moment de sortir son manteau et son parapluie ['C’', 'est', 'le', 'moment', 'de', 'sortir', 'son', 'manteau', 'et', 'son', 'parapluie'] ['moment']",A1
"C’est ma meilleure amie ['C’', 'est', 'ma', 'meilleure', 'amie'] []",A1
"ça me donne faim tout ça ['ça', 'me', 'donne', 'faim', 'tout', 'ça'] []",A1
"Ce magasin nest pas loins de chez moi ['Ce', 'magasin', 'nest', 'pas', 'loins', 'de', 'chez', 'moi'] []",A1
"Ce nest pas étonnant car cest une saison mystérieuse ['Ce', 'nest', 'pas', 'étonnant', 'car', 'cest', 'une', 'saison', 'mystérieuse'] []",A1
"Ce sont des vacances très relaxantes ['Ce', 'sont', 'des', 'vacances', 'très', 'relaxantes'] []",A1
"Cet aprèsmidi mes amis et moi allons au cinéma ['Cet', 'aprèsmidi', 'mes', 'amis', 'et', 'moi', 'allons', 'au', 'cinéma'] []",A1
"Cette période marque l’arrivée de Noël et des fêtes de fin d’année ['Cette', 'période', 'marque', 'l’', 'arrivée', 'de', 'Noël', 'et', 'des', 'fêtes', 'de', 'fin', 'd’', 'année'] []",A1
"Clément enfile ses gants blancs ['Clément', 'enfile', 'ses', 'gants', 'blancs'] []",A1
"Clive Owen et elle jouent un couple d’espions ['Clive', 'Owen', 'et', 'elle', 'jouent', 'un', 'couple', 'd’', 'espions'] ['couple']",A1
"Dabord je préfère quand il ne fait pas trop chaud et jadore la lumière dorée des belles journées dautomne ['Dabord', 'je', 'préfère', 'quand', 'il', 'ne', 'fait', 'pas', 'trop', 'chaud', 'et', 'jadore', 'la', 'lumière', 'dorée', 'des', 'belles', 'journées', 'dautomne'] []",A1
"Dans le centre de la ville il y a un très joli quartier plein de magasins chics et de bons restaurants ['Dans', 'le', 'centre', 'de', 'la', 'ville', 'il', 'y', 'a', 'un', 'très', 'joli', 'quartier', 'plein', 'de', 'magasins', 'chics', 'et', 'de', 'bons', 'restaurants'] ['centre']",A1
"Delphine je tattends au coin de la rue devant la pharmacie ['Delphine', 'je', 'tattends', 'au', 'coin', 'de', 'la', 'rue', 'devant', 'la', 'pharmacie'] []",A1
"Durant cette saison les feuilles des arbres tombent et couvrent le sol d’un tapis brun rouge et jaune ['Durant', 'cette', 'saison', 'les', 'feuilles', 'des', 'arbres', 'tombent', 'et', 'couvrent', 'le', 'sol', 'd’', 'un', 'tapis', 'brun', 'rouge', 'et', 'jaune'] []",A1
"Edouard aime beaucoup son foulard noir ['Edouard', 'aime', 'beaucoup', 'son', 'foulard', 'noir'] []",A1
"Elise boutonne sa chemise grise ['Elise', 'boutonne', 'sa', 'chemise', 'grise'] []",A1
"Elle a 20 ans ['Elle', 'a', '20', 'ans'] []",A1
"Elle a 84 ans et elle habite à Antibes ['Elle', 'a', '84', 'ans', 'et', 'elle', 'habite', 'à', 'Antibes'] []",A1
"Elle a trois enfants deux garçons et une fille ['Elle', 'a', 'trois', 'enfants', 'deux', 'garçons', 'et', 'une', 'fille'] []",A1
"Elle fait des bons gâteaux ['Elle', 'fait', 'des', 'bons', 'gâteaux'] []",A1
"Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petitdéjeuner ['Elle', 'passe', 'aussi', 'à', 'la', 'boulagerie', 'et', 'elle', 'achète', 'une', 'baguette', 'toute', 'chaude', 'et', 'des', 'croissants', 'pour', 'le', 'petitdéjeuner'] []",A1
"Elles m’ont promis de me faire découvrir tout Londres  nous visiterons les musées les monuments et les parcs ['Elles', 'm’', 'ont', 'promis', 'de', 'me', 'faire', 'découvrir', 'tout', 'Londres', ' ', 'nous', 'visiterons', 'les', 'musées', 'les', 'monuments', 'et', 'les', 'parcs'] []",A1
"Elles sont sympathiques ['Elles', 'sont', 'sympathiques'] []",A1
"En général cest à ce momentlà que je me rends compte que je suis en retard ['En', 'général', 'cest', 'à', 'ce', 'momentlà', 'que', 'je', 'me', 'rends', 'compte', 'que', 'je', 'suis', 'en', 'retard'] ['général']",A1
"En général elle loue une maison à la campagne ['En', 'général', 'elle', 'loue', 'une', 'maison', 'à', 'la', 'campagne'] ['général']",A1
"En les mélangeant on peut former d’autres couleurs ['En', 'les', 'mélangeant', 'on', 'peut', 'former', 'd’', 'autres', 'couleurs'] []",A1
"Enfin l’été arrive à la fin du mois de juin ['Enfin', 'l’', 'été', 'arrive', 'à', 'la', 'fin', 'du', 'mois', 'de', 'juin'] []",A1
"Enfin on trouve aussi le blanc comme la neige et le noir comme la nuit ['Enfin', 'on', 'trouve', 'aussi', 'le', 'blanc', 'comme', 'la', 'neige', 'et', 'le', 'noir', 'comme', 'la', 'nuit'] []",A1
"Ensuite je prends ma douche pour finir de me réveiller ['Ensuite', 'je', 'prends', 'ma', 'douche', 'pour', 'finir', 'de', 'me', 'réveiller'] []",A1
